wl,k
1.2399E-04,8.2410E-08
1.3051E-04,1.2720E-07
1.3776E-04,1.2488E-07
1.5498E-04,1.9173E-07
1.7712E-04,3.1463E-07
2.0664E-04,5.5102E-07
2.4797E-04,1.0726E-06
3.0996E-04,2.4843E-06
3.5424E-04,4.0484E-06
4.1328E-04,7.1408E-06
4.9594E-04,1.3642E-05
6.1993E-04,3.2079E-05
6.5255E-04,3.8497E-05
6.8881E-04,4.7138E-05
7.2932E-04,5.7974E-05
7.4021E-04,6.1633E-05
7.7734E-04,7.4862E-05
7.8472E-04,7.8480E-05
7.9274E-04,8.5418E-05
7.9376E-04,7.1847E-05
7.9478E-04,4.9998E-05
7.9529E-04,4.1131E-05
7.9580E-04,3.2911E-05
7.9785E-04,2.3687E-05
7.9887E-04,1.1026E-05
7.9990E-04,6.0484E-06
8.0510E-04,6.1901E-06
8.1569E-04,6.4818E-06
8.2657E-04,6.8049E-06
8.5507E-04,7.8422E-06
8.8561E-04,8.9400E-06
9.5373E-04,1.1636E-05
1.0332E-03,1.5628E-05
1.1271E-03,2.1586E-05
1.2399E-03,3.1115E-05
1.3776E-03,4.6771E-05
1.5498E-03,7.2992E-05
1.7712E-03,1.1811E-04
2.0664E-03,2.2001E-04
2.4797E-03,4.3503E-04
3.0996E-03,9.6887E-04
4.1328E-03,2.3492E-03
4.9594E-03,4.1863E-03
6.1993E-03,7.5099E-03
6.5255E-03,8.4716E-03
6.8881E-03,9.6517E-03
7.2932E-03,1.0987E-02
7.7491E-03,1.3728E-02
8.2657E-03,1.4773E-02
8.5507E-03,1.5437E-02
8.8561E-03,1.6304E-02
9.1841E-03,1.7765E-02
9.5373E-03,2.0606E-02
9.9188E-03,2.3421E-02
1.0332E-02,2.4063E-02
1.0781E-02,2.4928E-02
1.1271E-02,2.5452E-02
1.1808E-02,2.4415E-02
1.2399E-02,2.9920E-02
1.2652E-02,3.3061E-02
1.2915E-02,3.5883E-02
1.3190E-02,3.5311E-02
1.3477E-02,3.3392E-02
1.3776E-02,3.0918E-02
1.4089E-02,2.8956E-02
1.4417E-02,2.8232E-02
1.4760E-02,2.6826E-02
1.5120E-02,2.5460E-02
1.5498E-02,2.4476E-02
1.5694E-02,2.4501E-02
1.5896E-02,2.4757E-02
1.6102E-02,2.5180E-02
1.6314E-02,2.3853E-02
1.6422E-02,2.3955E-02
1.6531E-02,2.4020E-02
1.6642E-02,2.4343E-02
1.6755E-02,2.4184E-02
1.6777E-02,2.4228E-02
1.6800E-02,2.4282E-02
1.6823E-02,2.4375E-02
1.6846E-02,2.4499E-02
1.6869E-02,2.4831E-02
1.6892E-02,2.5432E-02
1.6915E-02,2.6018E-02
1.6938E-02,2.4227E-02
1.6961E-02,1.9564E-02
1.6984E-02,1.9145E-02
1.7008E-02,2.0012E-02
1.7031E-02,2.0072E-02
1.7054E-02,1.2476E-02
1.7078E-02,4.1164E-03
1.7101E-02,3.6218E-03
1.7125E-02,3.4141E-03
1.7149E-02,3.4400E-03
1.7172E-02,3.4767E-03
1.7196E-02,3.4877E-03
